,Chandler Bing,Joey Tribbiani,Monica Geller,Phoebe Buffay,Rachel Green,Ross Geller
exact,1.71632621266839,-0.3862544485718773,-0.6128077033455108,-0.027325396649345347,-0.4963458293257447,-0.19359283477593875
eddie,1.699146991440605,-0.6989561920069871,0.07268936619859011,-0.38969759675287186,-0.550914338955454,-0.13226822992388496
fourth,1.657945804196589,-0.46042455530516385,-0.2147703222108205,-0.2626102832283086,0.12251586953621736,-0.8426565129884958
stern,1.5460660803657105,-0.46321973361229263,-0.2652588475486923,-0.1655909709497901,-0.18532656728343003,-0.46666996097153546
unpack,1.5436295814111918,-0.46588683461236946,-0.08997154681088068,-0.21202911272673278,-0.33966096291713216,-0.43608112434411433
tulsa,1.5161993630869492,0.20371972209431283,0.7240066469424463,-0.7360890752146624,-0.8839627596981835,-0.8238738972108977
joe,1.4703146128436708,-0.8144643270342035,-0.6892234164383779,-0.4123522555334767,0.1880046176394866,0.25772076852288894
cameras,1.4676049352049965,0.1883977743013941,-0.18829521470529043,-0.6545973738504034,-0.6880912985548697,-0.12501882239585077
needy,1.4600929107347806,-0.20560935358844495,-0.38747539340609016,0.28644977288107026,-0.49817678654109315,-0.6552811500802054
bumped,1.4317955570657857,-0.4124285729819504,-0.38985151562937975,-0.3228969355586588,-0.3761686306366055,0.06955009774079256
jeez,1.4152805229052574,0.045017349797273294,-0.5022465532985897,-0.1819753574561941,-0.3542634520823522,-0.4218125098654047
foosball,1.404620093784415,0.5430606276112477,-0.47314353691579947,-0.4596677566179358,-0.49957156952305887,-0.5152978583388651
president,1.4027021927971488,-0.31090559007560403,-0.10661383583695198,-0.2824939224381294,-0.3290435718576871,-0.3736452725887833
balled,1.3747115572675843,-0.22376466970560974,-0.20488716242385427,-0.2259824942689521,-0.3992613709471044,-0.3208158599220754
janice,1.369809946439307,0.09746956081429857,-0.4055048731995892,0.12844540599439672,-0.897094796494251,-0.29312524355412906
zack,1.3620423352681008,-0.41002784986977825,0.2256476858184302,-0.3219955523964229,-0.32453360741783766,-0.5311330114024906
freedom,1.3577138311131147,-0.29473846859026764,-0.27958939091181434,-0.1803226293243132,-0.4153798166772372,-0.18768352560945842
handcuffs,1.3544181823641854,0.0690551917677436,-0.44103559530606384,-0.25510455157058964,-0.2722966461587485,-0.4550365810965335
kathy,1.350320099296168,0.8260807206673929,0.054745948581469715,-0.5600540875804267,-1.0030289300299982,-0.6680637509346041
suite,1.3424082899562724,-0.571593889033269,0.3980646114670156,-0.31663821987262125,-0.41071894176841955,-0.44152185074894457
bing,1.3272113187871422,-0.4817684131791014,-0.01985348347398606,0.4740445235790133,-0.43897526289364197,-0.8606586828194079
dorf,1.3184610373682069,-0.06790670935998795,-0.042666143593850556,-0.1598324322108122,-0.4348224945073842,-0.6132332576961517
nina,1.3173848807952266,-0.18831541539685695,-0.23800773874731282,-0.20472620716941875,-0.31755242056518806,-0.3687830989164405
turtle,1.312147238223246,0.33590398633016993,-0.24282619769838995,-0.3807355909510699,-0.3024985978310753,-0.7219908380728639
virus,1.3059023668019403,0.08342842277986703,-0.45047550245120843,-0.33950559952230297,-0.33732814411289225,-0.26202154349539725
rick,1.2966713678277677,-0.43210262267770394,-0.3001817765657415,0.15413742806725547,-0.4208555828409036,-0.29766881381066407
loveable,1.266159878491341,-0.1312986583847909,-0.15620903040805714,-0.3438068353855371,-0.4788040318371545,-0.15604132247577004
tailor,1.2581860090550294,-0.10401973310106935,-0.27620520576512003,-0.17583199423241447,-0.4707209925529225,-0.23140808340352897
cranberries,1.2497209323552012,-0.22716664531767702,-0.28308857487472044,-0.268908650011479,-0.22530555068356203,-0.24525151146775007
rangers,1.2489794313556664,0.07237565591405973,-0.5011368499381823,-0.37068523284635835,-0.17338009587697817,-0.27615290860816394
contact,1.2437852082332472,0.16802225468263077,-0.7300459787566204,0.16980001359265937,-0.24891461435630802,-0.6026468833955635
essence,1.226066789597321,-0.1942522414250086,-0.22045817298221684,-0.37893218136950646,-0.20978421744126097,-0.22263997637933608
throat,1.2195580378801958,-0.46020076888195527,0.0112268603900216,-0.15661124146646532,-0.37024725111593665,-0.24372563680588086
shes,1.2133420676448503,-0.08968549120486517,-0.246937830974622,-0.06350479713967402,-0.6068756260943293,-0.20633832223137236
energy,1.2115473758869881,-0.21814238580896728,-0.5869198588626681,-0.36904919690372445,-0.07767026249176108,0.04023432818011353
dick,1.2026977477753285,-0.29790715463802236,-0.1491719742833282,-0.38356134676944115,-0.292610416683515,-0.07944685540104751
gym,1.2023019623971507,-0.8897277380839135,0.11541961469482483,-0.6618089556773928,-0.7302410378347693,0.9640561545041003
helen,1.199927166182478,-0.40567495484419025,-0.5082174511036571,-0.41639324861906446,-0.48665524030450097,0.6170137286889121
condom,1.1934211086858153,-0.34213356862530736,0.12486499819409001,-0.5239341064290484,-0.6695831842251615,0.21736475239960437
yasmine,1.1886698537037805,-0.1253906166011218,-0.28738780172458567,-0.29341386402800657,-0.23996330707032318,-0.242514264279758
smoke,1.1842234229800648,-0.4162702028741639,0.8294789258062376,-0.23332494519547342,-0.4220260761044439,-0.9420811246122324
meal,1.1810574567046594,0.7385745214395251,-0.6426983336728495,-0.5664320373805188,-0.4807000037368459,-0.22980160335395616
introduce,1.1791647597658297,0.09723252023472828,-0.448042373745883,-0.5482412495516975,-0.6752331592393079,0.3951195025363358
angela,1.165648568221903,1.3009055614963363,-0.6938624709056322,-0.6725935761433379,-0.6007221582372242,-0.49937592443208373
steep,1.1629648721272667,-0.18009537939403925,-0.21627989124134103,-0.16467209664533208,-0.29117790483503064,-0.3107396000114794
babe,1.1549011652244725,-0.9561105971727284,-0.06411751031972687,-0.10939088684225244,0.6230473725515457,-0.648329543441335
screw,1.1534920605505143,-0.12944545444225186,-0.41858451989865364,-0.36518814172002445,0.5290753075502818,-0.7693492520398632
invisible,1.1490155879801087,-0.6457363408003769,0.15965556204287742,-0.5239357857055315,0.023806625990996973,-0.16280564950806597
connelly,1.134832178686552,-0.05347060889687557,0.36720092472372834,-0.4631582463553631,-0.6073341312108032,-0.37807011694722786
shaking,1.13460924267635,-0.6130214147522782,-0.17961971798325055,-0.19337393084764942,0.12914342427864917,-0.27773760337179
