season,episode,character,dialogue
s01,e01,Monica Geller,There's nothing to tell! He's just some guy I work with!
s01,e01,Joey Tribbiani,"C'mon, you're going out with the guy! There's gotta be something wrong with him!"
s01,e01,Chandler Bing,"All right Joey, be nice. So does he have a hump? A hump and a hairpiece?"
s01,e01,Phoebe Buffay,"Wait, does he eat chalk?"
s01,e01,Phoebe Buffay,"Just, 'cause, I don't want her to go through what I went through with Carl- oh!"
s01,e01,Monica Geller,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex."
s01,e01,Chandler Bing,Sounds like a date to me.
s01,e01,Chandler Bing,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked."
s01,e01,Chandler Bing,"Then I look down, and I realize there's a phone... there."
s01,e01,Joey Tribbiani,Instead of...?
s01,e01,Chandler Bing,That's right.
s01,e01,Joey Tribbiani,Never had that dream.
s01,e01,Chandler Bing,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me."
s01,e01,Monica Geller,And they weren't looking at you before?!
s01,e01,Chandler Bing,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!"
s01,e01,Joey Tribbiani,"This guy says hello, I wanna kill myself."
s01,e01,Monica Geller,"Are you okay, sweetie?"
s01,e01,Ross Geller,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck..."
s01,e01,Monica Geller,Carol moved her stuff out today.
s01,e01,Monica Geller,Let me get you some coffee.
s01,e01,Phoebe Buffay,Ooh! Oh!
s01,e01,Ross Geller,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?"
s01,e01,Phoebe Buffay,Fine! Be murky!
s01,e01,Ross Geller,"I'll be fine, alright? Really, everyone. I hope she'll be very happy."
s01,e01,Monica Geller,No you don't.
s01,e01,Ross Geller,"No I don't, to hell with her, she left me!"
s01,e01,Joey Tribbiani,And you never knew she was a lesbian...
s01,e01,Ross Geller,"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?"
s01,e01,Chandler Bing,Sometimes I wish I was a lesbian... Did I say that out loud?
s01,e01,Ross Geller,"I told mom and dad last night, they seemed to take it pretty well."
s01,e01,Monica Geller,"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?"
s01,e01,Joey Tribbiani,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?"
s01,e01,Joey Tribbiani,"Strip joint! C'mon, you're single! Have some hormones!"
s01,e01,Ross Geller,"I don't want to be single, okay? I just... I just- I just wanna be married again!"
s01,e01,Chandler Bing,And I just want a million dollars!
s01,e01,Rachel Green,"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"
s01,e01,Monica Geller,"De-caff. Okay, everybody, this is Rachel, another Lincoln High survivor. This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?"
s01,e01,Rachel Green,"Hi, sure!"
s01,e01,Monica Geller,"So you wanna tell us now, or are we waiting for four wet bridesmaids?"
s01,e01,Rachel Green,"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city."
