season,episode,title,character,dialogue
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Monica," There's nothing to tell! He's just some guy
I work with!"
1,01, Monica Gets A Roommate ,Joey," C'mon, you're going out with the guy! There's
gotta be something wrong with him!"
1,01, Monica Gets A Roommate ,Chandler," All right Joey, be
nice.  So does he have a hump? A hump and a hairpiece?"
1,01, Monica Gets A Roommate ,Phoebe," Wait, does he eat chalk?"
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Phoebe," Just, 'cause, I don't want her to go through
what I went through with Carl- oh!"
1,01, Monica Gets A Roommate ,Monica," Okay, everybody relax. This is not even a
date. It's just two people going out to dinner and- not having sex."
1,01, Monica Gets A Roommate ,Chandler, Sounds like a date to me.
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Chandler," Alright, so I'm back in high school, I'm
standing in the middle of the cafeteria, and I realize I am totally naked."
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Chandler," Then I look down, and I realize there's a
phone... there."
1,01, Monica Gets A Roommate ,Joey, Instead of...?
1,01, Monica Gets A Roommate ,Chandler, That's right.
1,01, Monica Gets A Roommate ,Joey, Never had that dream.
1,01, Monica Gets A Roommate ,Phoebe, No.
1,01, Monica Gets A Roommate ,Chandler," All of a sudden, the phone starts to ring.
Now I don't know what to do, everybody starts looking at me. "
1,01, Monica Gets A Roommate ,Monica," And they weren't looking at
you before?!"
1,01, Monica Gets A Roommate ,Chandler," Finally, I figure
I'd better answer it, and it turns out it's my mother,
which is very-very weird, because- she never calls me!"
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Ross, (mortified) Hi.
1,01, Monica Gets A Roommate ,Joey," This guy says hello, I wanna kill myself."
1,01, Monica Gets A Roommate ,Monica," Are you okay, sweetie?"
1,01, Monica Gets A Roommate ,Ross," I just feel like someone reached down my
throat, grabbed my small intestine, pulled it out of my mouth and tied it around my
neck..."
1,01, Monica Gets A Roommate ,Chandler, Cookie?
1,01, Monica Gets A Roommate ,Monica," (explaining to the others) Carol moved her
stuff out today. "
1,01, Monica Gets A Roommate ,Joey, Ohh.
1,01, Monica Gets A Roommate ,Monica, (to Ross) Let me get you some coffee.
1,01, Monica Gets A Roommate ,Ross, Thanks.
1,01, Monica Gets A Roommate ,Phoebe," Ooh! Oh! (She starts to pluck at the air
just in front of Ross.)"
1,01, Monica Gets A Roommate ,Ross," No, no don't! Stop cleansing my aura! No, just
leave my aura alone, okay?"
1,01, Monica Gets A Roommate ,Phoebe, Fine!  Be murky!
1,01, Monica Gets A Roommate ,Ross," I'll be fine,
alright? Really, everyone. I hope she'll be very happy."
1,01, Monica Gets A Roommate ,Monica, No you don't.
1,01, Monica Gets A Roommate ,Ross," No I don't, to hell with her, she left me!"
1,01, Monica Gets A Roommate ,Joey, And you never knew she was a lesbian...
1,01, Monica Gets A Roommate ,Ross," No!! Okay?! Why does everyone keep fixating on
that? She didn't know, how should I know?"
1,01, Monica Gets A Roommate ,Chandler," Sometimes I wish I was a lesbian... (They
all stare at him.) Did I say that out loud?"
1,01, Monica Gets A Roommate ,Ross," I told mom and dad last night,
they seemed to take it pretty well."
1,01, Monica Gets A Roommate ,Monica," Oh really, so that
hysterical phone call I got from a woman at sobbing 3"
1,01, Monica Gets A Roommate ,Ross, Sorry.
1,01, Monica Gets A Roommate ,Joey," Alright Ross, look. You're feeling a lot of
pain right now. You're angry. You're hurting. Can I tell you what the answer is?"
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Joey," Strip joint! C'mon, you're single! Have some
hormones!"
1,01, Monica Gets A Roommate ,Ross," I don't want to be single, okay? I just... I
just- I just wanna be married again!"
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Chandler," And I just want a million dollars! (He
extends his hand hopefully.)"
1,01, Monica Gets A Roommate ,Monica, Rachel?!
1,01, Monica Gets A Roommate ,Rachel," Oh God Monica hi! Thank God! I just went to
your building and you weren't there and then this guy with a big hammer said you might be
here and you are, you are!"
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Monica," (pointing at Rachel) De-caff. (to All) Okay,
everybody, this is Rachel, another Lincoln High survivor. (to Rachel) This is everybody,
this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross? "
1,01, Monica Gets A Roommate ,Rachel," Hi, sure!"
1,01, Monica Gets A Roommate ,Ross, Hi. 
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Monica," So you wanna tell us now, or are we waiting
for four wet bridesmaids?"
1,01, Monica Gets A Roommate ,Rachel," Oh God... well, it started about a half hour
before the wedding. I was in the room where we were keeping all the presents, and I was
looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden-
(to the waitress that brought her coffee)Sweet 'n' Lo?- I realized that I was more turned
on by this gravy boat than by Barry! And then I got really freaked out, and that's when it
hit me"
1,01, Monica Gets A Roommate ,Monica, Who wasn't invited to the wedding.
1,01, Monica Gets A Roommate ,Rachel," Ooh, I was kinda hoping that wouldn't be an
issue... [Scene"
1,01, Monica Gets A Roommate ,Monica," Now I'm guessing that he bought her the big
pipe organ, and she's really not happy about it. "
1,01, Monica Gets A Roommate ,Chandler," (imitating the characters)
Tuna or egg salad?  Decide!"
1,01, Monica Gets A Roommate ,Ross," (in a deep voice) I'll have
whatever Christine is having."
1,01, Monica Gets A Roommate ,Rachel," (on phone) Daddy, I just... I can't marry
him! I'm sorry. I just don't love him. Well, it matters to me! "
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Phoebe,"  If I let go of
my hair, my head will fall off. "
1,01, Monica Gets A Roommate ,Chandler," (re TV) Ooh, she should not be wearing
those pants. "
1,01, Monica Gets A Roommate ,Joey, I say push her down the stairs. 
1,01, Monica Gets A Roommate ,Joey," 
Push her down the stairs! Push her down the stairs! Push her down the stairs!"
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Rachel," C'mon Daddy, listen to me! It's like, it's
like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a
shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a
shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you
to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!"
1,01, Monica Gets A Roommate ,Ross, You can see where he'd have trouble.
1,01, Monica Gets A Roommate ,Rachel," Look Daddy, it's my life. Well maybe I'll
just stay here with Monica. "
1,01, Monica Gets A Roommate ,Monica," Well, I guess we've established who's
staying here with Monica..."
1,01, Monica Gets A Roommate ,Rachel," Well, maybe that's my decision. Well, maybe
I don't need your money. Wait!! Wait, I said maybe!!"
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Monica," Just breathe, breathe.. that's it. Just try
to think of nice calm things..."
1,01, Monica Gets A Roommate ,Phoebe," (sings) Raindrops on roses and rabbits and
kittens, (Rachel and Monica turn to look at her.) bluebells and sleighbells and- something
with mittens... La la la la...something and noodles with
string.  These are a few..."
1,01, Monica Gets A Roommate ,Rachel, I'm all better now.
1,01, Monica Gets A Roommate ,Phoebe," (grins and walks to the kitchen and says to
Chandler and Joey.) I helped!"
1,01, Monica Gets A Roommate ,Monica," Okay, look, this is probably for the best,
y'know? Independence. Taking control of your life.  The whole,
'hat' thing."
1,01, Monica Gets A Roommate ,Joey," (comforting her) And hey, you need anything,
you can always come to Joey. Me and Chandler live across the hall. And he's away a lot."
1,01, Monica Gets A Roommate ,Monica," Joey, stop hitting on her! It's her wedding
day!"
1,01, Monica Gets A Roommate ,Joey," What, like there's a rule or something?"
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Chandler," Please don't do that again, it's a
horrible sound."
1,01, Monica Gets A Roommate ,Paul," (over the intercom) It's, uh,
it's Paul."
1,01, Monica Gets A Roommate ,Monica," Oh God, is it
6"
1,01, Monica Gets A Roommate ,Joey, Who's Paul?
1,01, Monica Gets A Roommate ,Ross," Paul the Wine Guy, Paul?"
1,01, Monica Gets A Roommate ,Monica, Maybe. Joey
1,01, Monica Gets A Roommate ,Ross, He finally asked you out?
1,01, Monica Gets A Roommate ,Monica, Yes!
1,01, Monica Gets A Roommate ,Chandler," Ooh, this is a Dear Diary moment."
1,01, Monica Gets A Roommate ,Monica," Rach, wait, I can cancel..."
1,01, Monica Gets A Roommate ,Rachel," Please, no, go, that'd be fine!"
1,01, Monica Gets A Roommate ,Monica," (to Ross) Are, are you okay? I mean, do you
want me to stay?"
1,01, Monica Gets A Roommate ,Ross, (choked voice) That'd be good...
1,01, Monica Gets A Roommate ,Monica, (horrified) Really?
1,01, Monica Gets A Roommate ,Ross," (normal voice) No, go on! It's Paul the Wine
Guy!"
1,01, Monica Gets A Roommate ,Phoebe," What does that mean?  
Does he sell it, drink it, or just complain a lot? (Chandler doesn't know.)"
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Monica," Hi, come in! Paul, this is.. (They are all
lined up next to the door.)... everybody, everybody, this is Paul."
