,Chandler Bing,Joey Tribbiani,Monica Geller,Phoebe Buffay,Rachel Green,Ross Geller
uhhh,-0.41164861298513966,2.0636656137934635,-0.6022006380331714,-0.8357777304404668,-0.057265824084879506,-0.15677280824982673
dude,0.02143708341205124,1.9122050098402557,-1.261027111840439,-0.8738920068303192,-0.711424277246672,0.9127013026651299
director,-0.5358077973863971,1.8417655832038358,-0.6138939000521532,-0.3572068613723063,0.017901977045462505,-0.35275900143844213
tribbiani,-0.7755178172325526,1.840582880922062,-0.39530795233772914,-0.03148293471153217,-0.14256769784798026,-0.495706478792269
everest,-0.25135999431580025,1.7463153110013532,-0.3542836042790298,-0.5072391822635691,-0.2643661873698206,-0.3690663427731184
scene,-0.5773017667934676,1.6375785771521194,-0.421641763785011,-0.36824202612453305,-0.01383469055531183,-0.256558329893809
estelle,-0.7474815280602947,1.6316930118442718,-0.6408715508485551,1.054406077319415,-0.6183211515071538,-0.6794248587476581
folks,-0.3413416778485724,1.608461679992235,0.02218323267570946,-0.3932470115188992,-0.5333654120817559,-0.36269081121872393
sakes,-0.5030669010701028,1.583188120560263,-0.44858689460346296,-0.13832347674252646,-0.07533961891805778,-0.41787122922611764
sexually,-0.31525067540881324,1.5566890415977446,-0.3570914373969522,0.13852631028220067,-0.430931445416552,-0.5919417936576207
kate,-0.31375067172579013,1.516684725474896,-0.1037105460844856,-0.6268235254059973,0.27828270098302554,-0.7506826832416656
comin,-0.569722894883839,1.5159339120919197,-0.5470758225706778,-0.48560268543632296,-0.48599686027135836,0.572464351070227
timer,-0.30968493539467423,1.499080323398991,-0.26561218287100535,-0.30770612627189997,-0.3805059404513909,-0.23557113841004768
talkin,-0.6700835195924437,1.4633184864599433,-0.2652108630229733,-0.2877790454593031,-0.28487500082410655,0.044629942438869925
doin,0.04576897929202705,1.4546871973776985,-0.22767368494481524,-0.6314543300866927,0.3101093719155893,-0.9514375335537775
porsche,-0.7465892581982466,1.443703801540088,-0.11553096364436549,-0.6715237807222624,-0.22847337228755416,0.3184135733123657
agent,0.09122229426106267,1.4398044213065762,-0.6706427490308962,0.14378205084080167,-0.2240286340525636,-0.7801373833250025
noooo,-0.792353662716513,1.4171214885250472,0.07041148733755918,-0.654385706024024,-0.06801644543296179,0.027222838310935787
hole,0.45032918910065545,1.4158920755167967,-0.06433630954629953,-0.16250129057885418,-0.7388725538184705,-0.9005111106737903
receiving,-0.3439521131837043,1.4004422322938026,-0.21543704932481358,-0.3785046078667824,-0.5006903434776444,0.03814188155913835
heh,0.13336158471645435,1.3955194831170705,-0.41484025676159675,-0.3277018068424161,-0.38828971663824313,-0.39804928759127245
putty,-0.13238862695904807,1.3866990288551562,-0.044544146260054034,-0.5301863945299601,-0.33225000592141474,-0.3473298551846741
ringing,-0.37975187580055964,1.3821894617487893,-0.41726270877737986,-0.2674761844320785,-0.09502981310359537,-0.22266887963519227
casting,-0.3260863337602847,1.3632968375738987,-0.08446907078056455,-0.23397507690306868,-0.21071734666073608,-0.5080490094692188
remoray,-0.3497774061736718,1.3566773678515078,-0.3781613311014405,-0.32793066164487295,0.235305677064413,-0.5361136459959542
goalie,-0.31931991288253814,1.3507367648035784,-0.392643274321618,-0.22378662269845215,-0.20459599499674122,-0.2103909599042188
feeding,0.24886529056554316,1.3503060289018245,-0.20640989409985303,-0.08858943737370958,-0.603910814051981,-0.7002611739418505
gettin,-0.2640664793254124,1.3453239660252092,-0.4540995081634333,-1.0970776740164918,0.7360716681559129,-0.2661519726758132
kiddin,-0.45067337165189836,1.3425459842865644,-0.029613659245485514,-0.47032231146507464,0.12175819539250265,-0.51369483731657
actor,0.07326628756551222,1.341744983114813,-0.9363655907734615,0.30134929641564645,-0.4221890615940894,-0.3578059147284347
dorks,-0.2516287852446956,1.3330212668222747,-0.2645504561333953,-0.24345982291893775,-0.22936786692119918,-0.34401433560407574
jets,-0.2715799889198855,1.3214372998727435,-0.6447290336879619,-0.11200154198841063,-0.1279965272761931,-0.1651302080003148
stare,-0.2042496331482405,1.3175011630534883,-0.06620577933620356,-0.5585504610601179,-0.2520636211709326,-0.23643166833800228
character,-0.3537333901131786,1.3096528296528096,-0.15986165149265796,-0.10659062421109584,-0.2698548034899795,-0.4196123603458595
angela,1.165648568221903,1.3009055614963363,-0.6938624709056322,-0.6725935761433379,-0.6007221582372242,-0.49937592443208373
hugsy,-0.5292475964346911,1.2944029232002672,-0.43826629993913785,-0.4298873211123966,0.9467753013113172,-0.843777007025359
twin,0.47432253548717385,1.2936961015789628,-0.671945133795511,-0.8529595709733212,-0.6010551643996842,0.35794123210238293
havin,-0.42982254956630195,1.2914016120510383,-0.6827587960061804,-0.4529679347498226,0.029096483705005626,0.245051184566255
zelda,-0.298163425498206,1.2904245146198325,-0.330580138994788,-0.20065850841616145,-0.20093266594826792,-0.26008977576241593
somethin,0.29707749577187986,1.290263606409834,-0.3767869892054595,-0.4443230657828668,-0.48889753504628397,-0.2773335121470757
taller,-0.2823851950916503,1.2836953787713332,-0.2449746355184276,-0.2117958715298476,-0.22730064613453826,-0.31723903049689633
extras,-0.29699874408932253,1.2531567334032039,-0.28820377794207197,-0.16139959893136718,-0.2498831652481542,-0.2566714471922653
beth,0.14646149392711008,1.2502768867209737,-0.28850877864217167,-0.39303039687706826,-0.2875732420233729,-0.4276259631054454
slip,0.16346805427014294,1.2501705427770036,-0.5079227515964109,0.25998142019919385,-0.4876137271530541,-0.6780835384968916
television,0.17325410691380122,1.2498470269951376,-0.23668802060134084,-0.3857100204786193,-0.3643666882072687,-0.43633640462170625
cast,-0.27426161289855416,1.2426858229481963,0.35572008473331573,-0.2423836240541156,-0.3816724534617643,-0.7000882172670645
stalin,-0.2352079483326666,1.2398808822861138,-0.16317856986657686,-0.27514757944440726,-0.30322182299014394,-0.2631249616523172
stomach,-0.5838781392421574,1.231277200019258,-0.21941540879301105,-0.5063935233177813,-0.189114153700204,0.26752402503389777
acting,0.6225954114466193,1.2300023232321828,0.47875131149693767,-0.5201903065072777,-0.7026622337332732,-1.1084965059352037
lead,0.5144766407600486,1.229946902903397,-0.8037519811769783,-0.48493064875855807,-0.7431137752857682,0.287372861557913
