,Chandler Bing,Joey Tribbiani,Monica Geller,Phoebe Buffay,Rachel Green,Ross Geller
philange,-0.51793953166853,-0.38742806631533955,-0.5645847244058736,2.282862779862958,-0.1584411155288964,-0.6544693419443117
minsk,-0.3724313443029045,-0.3980958902629299,-0.4698765555438376,2.1671994761311284,-0.586962734538168,-0.3398329514832616
psychic,-0.5759297156991543,-0.4652734556111243,-0.4396464197766794,1.9909568553253725,-0.5572950511957775,0.047187786957369825
yay,0.046586162511186094,-1.1433187738415957,-0.9496348988126353,1.9656635493169103,0.11985585224775351,-0.0391518914216707
buffay,0.012475521011900966,0.18050251280158214,-1.205571495154151,1.8708906188082683,-0.452050240994855,-0.4062469164726762
ursula,-0.7153497427340102,0.048348894794550006,-0.6325078791810219,1.8649701821297608,-0.06470855602906864,-0.5007528989801794
frank,-0.1532903169443947,-0.682271803676845,-0.061493965482669305,1.8021638292144884,-0.01781646248601402,-0.8872912806245615
maternity,-0.5635027203026376,-0.0009651202156761904,-0.5811830651057649,1.5834906587884847,0.04447616821458012,-0.48231592137898355
client,-0.4437576654958315,-0.035795102724581335,-0.02083301785585173,1.5680469943302964,-0.7092534054943191,-0.35840780275969414
smelly,0.45239444115389826,-0.7416561942126513,-0.4213472640938302,1.5045803054247375,-0.3329095638934961,-0.4610617243786547
leslie,-0.36515933129911887,-0.06605678287512233,-0.2522513512680106,1.486733451678288,-0.36299815004459995,-0.4402678361914557
massage,-0.162209836916529,-0.8481377219849153,-0.16285872845502233,1.4819054116124708,-0.2705298982083576,-0.03816922604767265
concert,0.23272209571999405,-0.5278459271109576,-0.6336426161962175,1.458920029063949,-0.476588465012705,-0.05356511646408237
toner,-0.21181915062497775,-0.11060447610725128,-0.4319793623391304,1.4414263278805435,-0.4280720700344171,-0.2589512687747808
negative,-0.5772652365757533,0.10722980350835809,-0.825098528969771,1.434367463040149,0.16540217101577115,-0.3046356720187294
abandoned,-0.15525314602149928,-0.42598504833231843,0.2238281655340774,1.4295681762337304,-0.7575439222521605,-0.3146142251618744
simmons,-0.31035396090051764,-0.19833274132224848,-0.4990739136732893,1.4232254454928954,-0.20083676079924787,-0.21462806879759666
sting,-0.8371624661333658,-0.5408096856565789,-0.1295256985069221,1.4229308203438613,0.030965172964573583,0.05360185698840141
onto,-0.1937002530362342,-0.21369909462357897,-0.21424649927206568,1.4210447635028405,-0.5121092227215877,-0.2872896938493865
suicide,-0.046872537829858806,-0.4448081146573354,-0.3495982813887055,1.3944222198911453,-0.21998368438033133,-0.33315960163486186
pervert,-0.7461118606081962,-0.4025450200166521,-0.30399592722239827,1.3840319580862053,-0.292169315507466,0.3607901652684965
pesto,-0.3404928543275926,-0.278793025837192,-0.17851482281800504,1.3830742049552163,-0.29107411536345346,-0.29419938660894823
jingle,-0.24948582722122495,-0.2399394630221706,-0.22319242233762063,1.3681719481666372,-0.3782595970980983,-0.2772946384875042
mike,-0.4457575552988003,0.6946054297333133,0.006608064166941607,1.3655749576374048,-1.2898639573882804,-0.33116693885054144
jack,-0.028496146121619957,-0.33623704484073735,0.0756827762989581,1.3595298018022157,-0.6326802463547234,-0.43779914078409543
uhuh,-0.27816252649702566,-0.32427877701547364,-0.27298165021607207,1.3559928627985303,-0.28428925133202265,-0.19628065773793463
francis,-0.3721800080424827,-0.26095714930197855,-0.16395228629320283,1.3525103703701244,-0.39014842167072145,-0.1652725050617334
oo,-0.5802754721733024,-0.4911422382611491,-0.4883964083496884,1.3287551937139992,0.6986766754539678,-0.4676177503838565
jail,-0.24930091630474532,-0.2266841212249495,-0.7272905718805295,1.3098149366515446,0.177590403942822,-0.28412973118416257
vince,-0.3318217634441813,0.32473724315563585,-0.43133479170012484,1.307752776663176,-0.48060542409894597,-0.38872804057555055
burned,-0.26432510951577043,0.27416454210306174,-0.5591333655378116,1.306573444026493,-0.5053987207756379,-0.2518807903003372
attic,-0.41523134285464963,-0.29973244528822734,-0.04031276964372571,1.2947146301057686,-0.42265643109980006,-0.11678164121935314
clients,-0.26627757016246373,-0.15555730667012152,-0.23261444145861138,1.2864840078711302,-0.303425439436089,-0.3286092501438412
pox,-0.030088678716650857,-0.18530381923222322,-0.4192368469856337,1.2833939881726382,-0.4215466174233437,-0.22721802581475964
fireman,-0.5265887793777788,-0.05194988538836209,-0.3233735023606975,1.2811216419560263,0.1166065347435004,-0.4958160095726787
skiing,-0.4898216453357851,-0.23301705970775893,-0.5631507845710556,1.2782848384559948,-0.3368652719793634,0.3445699231379587
imagined,-0.4513666422496426,-0.3389041825859423,-0.5144029110935627,1.2671897799972731,-0.2992333267066312,0.3367172826384892
mache,-0.14789768746961698,-0.17555041301280563,-0.4401209035473586,1.2550695330433936,-0.32536193127780744,-0.16613859773582773
following,-0.29670658849688686,0.1817856331389188,-0.44246205334753286,1.2517452859376328,-0.3561311412367186,-0.33823113599543186
volunteer,-0.2524368843258951,-0.16204491087205128,-0.40530646187277397,1.24700605516563,-0.26692098320169977,-0.1602968148932095
appelle,-0.17979814646110223,-0.4747637997087166,-0.23679540232709326,1.2352752573521275,-0.18191333553564784,-0.16200457331958396
garlic,-0.27053044309894525,-0.1376932576704638,-0.22898233844643623,1.2134439427094683,-0.3178986033940549,-0.2583393000995929
sticky,-0.40628279756759794,-0.006950546170519197,-0.38821995407881166,1.210621786022267,-0.2435044059926449,-0.16566408221269494
patient,-0.1465739020559316,-0.04582428144745275,-0.2085047912713181,1.2021416950124593,-0.8256369571287008,0.024398236890946216
headache,-0.22361756522608667,-0.17860194193758497,-0.2513972777554226,1.1990964214077273,-0.3274875091360435,-0.21799212735260218
sip,-0.18256644990238685,-0.1121875783344908,-0.2668535689664587,1.1970917810400616,-0.45424445052857404,-0.18123973330815984
