,Chandler Bing,Joey Tribbiani,Monica Geller,Phoebe Buffay,Rachel Green,Ross Geller
joshua,-0.19229135752003804,-0.4838386326114239,-0.8104102228281963,-0.6631088679228964,2.359930137295545,-0.21028105641300837
zelner,-0.3716649093974316,-0.310912380153048,-0.44626007319803374,-0.40505427936222144,1.9389825709470587,-0.4050909288363214
gavin,-0.4627146049599037,-0.5067657964492278,0.1555497981850955,-0.5286720560228204,1.7952886222499993,-0.45268596300317465
amy,-0.4708170011676078,0.19175127408669018,-0.7043520372661974,-0.7661146240528239,1.7841442387165525,-0.03461185031656394
joanna,0.4400898533729642,-0.4313579744144699,-0.5348147409722533,-0.5586074125442384,1.7821622181365286,-0.6974719435785393
cart,-0.3835489327224378,-0.7083481465371934,-0.39947061265002,-0.3597239957539441,1.7597750279347837,0.09131665972879653
barry,-0.9909324554194922,-0.35170299918705444,0.6712693151704805,-0.5808606858496596,1.620368360040934,-0.3681415347552343
honey,0.45337402607641164,-1.8730738780517349,1.0760486621261354,-0.7165806141481578,1.6076481634740225,-0.5474163594766576
pierced,-0.17496829670176164,-0.3954513184912401,-0.295798547463015,-0.22057100510820596,1.5419244776827943,-0.45513530991852286
spider,-0.5477808852231035,-0.6257661610208999,0.09033351430950727,0.18379274007607452,1.5213539607838356,-0.621933168925398
gala,-0.31925539007711207,-0.33770405313375196,-0.23583426869062799,-0.23098921663997,1.5095705259987382,-0.38578759745726027
shampoo,-0.39146097187334733,-0.27385675190367587,-0.31246060261847153,-0.4855226152693717,1.4876739926347384,-0.024373050969844868
sophie,-0.2606974666881843,-0.43181959235406875,-0.48990676103621916,-0.4845421143839284,1.4755845943577734,0.19138134010463356
entire,1.0019547784633844,-0.43601981936510265,-0.40688202129922213,-0.7581489504874696,1.446384471130833,-0.847288458442437
serving,-0.4017024893960476,-0.22585116573679664,-0.4642497184045681,-0.013533266574886106,1.429133513372484,-0.32379687326017986
danny,-0.5394664704394422,-0.5266080087895016,0.8183062118606642,-0.5000353040231,1.4287601477413296,-0.6809565763499326
greep,-0.13722194781314284,-0.26648746298972076,-0.27892248807604575,-0.3213311525795537,1.416274147156326,-0.41231109569783886
trifle,-0.31843623810592675,-0.39028432838775146,-0.4955963748980441,0.24746547646171585,1.4152400731347066,-0.45838860820471883
truly,-0.43768804165109265,-0.18377344645410448,-0.6093094606651016,-0.13161834918306434,1.4121674348077558,-0.04977813685441945
cannot,-0.8932133604987177,-0.6256169988106108,-0.09530330290036769,-0.05209981605799674,1.4042588739377075,0.26197460433001235
resources,-0.48953947529901964,-0.1618016945558288,-0.13250073787648495,-0.29292611198364416,1.4024413061737662,-0.3256732864588003
cheerleader,0.12045114732168298,-0.18821767626455974,-0.4462619057875432,-0.4091910978447861,1.2937996915781953,-0.37058015900298213
fogged,-0.35413604117360037,-0.2844553987553876,0.16017249317938884,-0.5275489273721705,1.2901070618670887,-0.28413918774526853
vacuum,-0.40069078113555107,-0.3710801026905766,0.4168130830733663,-0.5299121362587191,1.2879134475931786,-0.4030435105817003
crotch,-0.2361653243871568,-0.36169182094056884,0.03467618775955272,-0.23101316315705603,1.2854896141512262,-0.49129549342599005
wiener,-0.41926481670792526,0.2619963214355189,-0.377881970249992,-0.33606687367253973,1.282793294869846,-0.41157595567484856
hardly,-0.6357123970230093,-0.27601731250287553,-0.7337015526180816,0.7989746357154018,1.267736956655827,-0.4212803302272796
contraction,-0.35016897252489476,-0.2617462441246353,-0.3644417060819864,0.07367993319597238,1.2609270026711754,-0.35825001313566224
above,-0.3051777800483415,-0.29165876231037424,-0.22745803974918177,-0.22030730588880712,1.2592473913876518,-0.21464550339093932
sweden,-0.32556943246130743,-0.40161874098364375,-0.09662058629298151,-0.21995747442412059,1.2562644741432336,-0.21249823998117587
basil,-0.14479177715953692,-0.4801490984648497,-0.1063459808657547,-0.14851394340496157,1.254715887919343,-0.3749150880242575
annulment,-0.8608053231412519,-0.4547698364253461,-0.7316262454344966,0.29308680706616863,1.2529008201359706,0.5012137777989433
gossip,-0.34481797793988767,-0.24366076961666963,0.10318713199313923,-0.3050779604952714,1.2285813156896774,-0.4382117396309824
beach,-0.5381544222040031,-0.4285928089425167,-0.3669462633864303,0.42452134313221523,1.2267998692843172,-0.3176277178835662
buyer,-0.24941356480737362,0.14384409881146087,-0.4250581251633082,-0.2634320877229273,1.216374422936187,-0.42231474405404734
melissa,-0.4332189862446342,-0.11712550483932854,-0.27106137686502596,-0.18773412996386996,1.2088486878157692,-0.1997086899029013
sandwiches,0.2384112802646683,-0.23537557716637067,-0.3440737130944283,-0.16516169572188538,1.2048015007250064,-0.6986017950070088
tag,-0.7565120536889907,0.22186849421565982,-0.2329207719204833,0.1756695362645184,1.1967517968182533,-0.604857001688982
ralph,-0.17954619705999386,-0.8729800135282049,0.10723850631203236,0.20633985742554795,1.1888142135932969,-0.4498663667426676
sort,-1.1510571650052455,0.4745610566754803,0.2914121124605082,-0.3617588195579184,1.1872711515201215,-0.440428336092908
ooo,-0.46633484328000335,-0.3999805342296374,-0.10308529108796483,0.18379231043379135,1.1871218867620292,-0.40151352859821443
chip,-0.4532647501954526,-0.6733720583723103,0.23731201232917656,-0.14484613791555148,1.1807775953923814,-0.146606661238265
hollow,-0.33475998620863917,-0.2959403591481807,-0.25345795187515785,0.033729115723578555,1.180175614641858,-0.32974643313347524
blades,-0.2978786972347169,-0.439711890112612,-0.3092889263356626,-0.24183451470307818,1.1623371069770903,0.12637692140897935
evaluation,-0.2266258364895383,0.11759286087183436,-0.2872861582885601,-0.6060750200291893,1.1621542409619883,-0.1597600870265568
daddy,-0.41304968328112185,-0.5000180433595937,-0.6902858744905402,-0.18785595448208847,1.1614824816951344,0.629727073918241
sail,-0.17286107104874926,-0.27129911382512595,-0.17004239407823368,-0.4121542475735719,1.1594829785259062,-0.13312615200018915
yeti,-0.22989358792571593,-0.26684987731054244,-0.12150080692745695,-0.4395624272993149,1.1551885824391779,-0.09738188297613867
bossy,-0.005978498476262324,-0.5690477002624131,-0.3885232340782773,0.04762151151603514,1.1533719815681394,-0.2374440602672257
powering,-0.26899737315266214,-0.24644941038093074,-0.12043899117826042,-0.24412214752702674,1.1493373250151682,-0.26932940277631695
